nick,rating,rd,vol,last_game
avinster,1500.0,350.0,0.06,3
Damian,1500.0,350.0,0.06,3
Dziku,1500.0,350.0,0.06,3
Etoo,1500.0,350.0,0.06,3
jakób,1500.0,350.0,0.06,3
Janek,1500.0,350.0,0.06,3
kellutek,1500.0,350.0,0.06,3
Krzysztof_Szpila,1500.0,350.0,0.06,3
LopSucks,1500.0,350.0,0.06,3
Lormd,1500.0,350.0,0.06,3
Maciuś,1500.0,350.0,0.06,3
Maggnan,1500.0,350.0,0.06,3
Malkie,1500.0,350.0,0.06,3
marines,1500.0,350.0,0.06,3
Marnypopis,1500.0,350.0,0.06,3
Michal Bl,1500.0,350.0,0.06,3
Patryk,1604.5,259.26,0.06,0
PL_Fox6,1500.0,350.0,0.06,3
Popkhorne,1500.0,350.0,0.06,3
Quamar,1500.0,350.0,0.06,3
Renegade_Jedi,1500.0,350.0,0.06,3
sebastian_krok,1500.0,350.0,0.06,3
seig,1500.0,350.0,0.06,3
Shomrey,1500.0,350.0,0.06,3
Silvaron,1500.0,350.0,0.06,3
SirMario0,1500.0,350.0,0.06,3
soskas_,1500.0,350.0,0.06,3
Strigoi,1500.0,350.0,0.06,3
Szymon,1500.0,350.0,0.06,3
Świnia,1397.27,221.41,0.06,0
Velthael (Gunnar),1500.0,350.0,0.06,3
#history
2025-04-03 07:54:25,Patryk,Świnia,16,4,80,45
