nick,rating,rd,vol,last_game
avinster,1534.83,259.26,0.06,0
Damian,1500.0,350.0,0.06,7
Dziku,1500.0,350.0,0.06,7
Etoo,1500.0,350.0,0.06,7
jakób,1500.0,350.0,0.06,7
Janek,1500.0,350.0,0.06,7
kellutek,1500.0,350.0,0.06,7
Krzysztof_Szpila,1397.27,221.41,0.06,1
LopSucks,1500.0,350.0,0.06,7
Lormd,1500.0,350.0,0.06,7
Maciuś,1500.0,350.0,0.06,7
Maggnan,1500.0,350.0,0.06,7
Malkie,1500.0,350.0,0.06,7
marines,1328.78,221.41,0.06,4
Marnypopis,1500.0,350.0,0.06,7
Michal_Bl,1465.76,221.41,0.06,0
Patryk,1604.5,259.26,0.06,4
PL_Fox6,1500.0,350.0,0.06,7
Popkhorne,1500.0,350.0,0.06,7
Quamar,1500.0,350.0,0.06,7
Renegade_Jedi,1500.0,350.0,0.06,7
sebastian_krok,1604.5,259.26,0.06,1
seig,1500.0,350.0,0.06,7
Shomrey,1500.0,350.0,0.06,7
Silvaron,1500.0,350.0,0.06,7
SirMario0,1500.0,350.0,0.06,7
soskas_,1500.0,350.0,0.06,7
Strigoi,1674.17,259.26,0.06,4
Szymon,1500.0,350.0,0.06,7
Świnia,1397.27,221.41,0.06,4
Velthael (Gunnar),1500.0,350.0,0.06,7
#history
2025-04-03 07:54:25,Patryk,Świnia,16,4,80,45
2025-04-03 20:06:29,Strigoi,marines,20,0,90,27
2025-04-06 20:16:14,sebastian_krok,Krzysztof_Szpila,16,4,82,50
2025-04-07 20:20:03,avinster,Michal_Bl,12,8,81,66
