nick,rating,rd,vol,last_game
avinster,1500.0,350.0,0.06,6
Damian,1500.0,350.0,0.06,6
Dziku,1500.0,350.0,0.06,6
Etoo,1500.0,350.0,0.06,6
jakób,1500.0,350.0,0.06,6
Janek,1500.0,350.0,0.06,6
kellutek,1500.0,350.0,0.06,6
Krzysztof_Szpila,1397.27,221.41,0.06,0
LopSucks,1500.0,350.0,0.06,6
Lormd,1500.0,350.0,0.06,6
Maciuś,1500.0,350.0,0.06,6
Maggnan,1500.0,350.0,0.06,6
Malkie,1500.0,350.0,0.06,6
marines,1328.78,221.41,0.06,3
Marnypopis,1500.0,350.0,0.06,6
Michal_Bl,1500.0,350.0,0.06,6
Patryk,1604.5,259.26,0.06,3
PL_Fox6,1500.0,350.0,0.06,6
Popkhorne,1500.0,350.0,0.06,6
Quamar,1500.0,350.0,0.06,6
Renegade_Jedi,1500.0,350.0,0.06,6
sebastian_krok,1604.5,259.26,0.06,0
seig,1500.0,350.0,0.06,6
Shomrey,1500.0,350.0,0.06,6
Silvaron,1500.0,350.0,0.06,6
SirMario0,1500.0,350.0,0.06,6
soskas_,1500.0,350.0,0.06,6
Strigoi,1674.17,259.26,0.06,3
Szymon,1500.0,350.0,0.06,6
Świnia,1397.27,221.41,0.06,3
Velthael (Gunnar),1500.0,350.0,0.06,6
#history
2025-04-03 07:54:25,Patryk,Świnia,16,4,80,45
2025-04-03 20:06:29,Strigoi,marines,20,0,90,27
2025-04-06 20:16:14,sebastian_krok,Krzysztof_Szpila,16,4,82,50
